,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,Atuona,48,PF,1586964802,77,-9.8,-139.03,81.61,8.08
1,Bethel,40,US,1586964803,41,41.37,-73.41,48.99,8.05
2,Hermanus,100,ZA,1586964804,77,-34.42,19.23,64.99,1.01
3,Albany,75,US,1586964601,35,42.6,-73.97,46.0,16.11
4,Buraidah,75,SA,1586964806,49,26.33,43.98,71.6,34.45
5,Isabela,75,PH,1586964807,88,6.71,121.97,78.8,1.12
6,Lagoa,42,PT,1586964808,72,39.05,-27.98,56.37,23.98
7,Cape Town,100,ZA,1586964810,55,-33.93,18.42,69.01,6.93
8,Rikitea,43,PF,1586964811,67,-23.12,-134.97,75.36,1.21
9,Bathsheba,40,BB,1586964812,58,13.22,-59.52,86.0,18.34
10,Bluff,41,NZ,1586964813,87,-46.6,168.33,51.01,11.99
11,Saskylakh,91,RU,1586964814,91,71.92,114.08,-5.22,6.06
12,Provideniya,62,RU,1586964815,95,64.38,-173.3,21.42,3.8
13,Yeppoon,4,AU,1586964816,82,-23.13,150.73,68.0,6.93
14,Katsuura,100,JP,1586964817,54,35.13,140.3,57.2,8.05
15,Saldanha,100,ZA,1586964818,52,-33.01,17.94,69.8,13.87
16,Salym,100,RU,1586964820,92,60.06,71.48,38.75,2.68
17,Kieta,51,PG,1586964821,76,-6.22,155.63,79.81,2.59
18,Busselton,32,AU,1586964778,57,-33.65,115.33,55.0,6.91
19,San Andrés,20,CO,1586964823,58,12.58,-81.7,87.8,11.41
20,Esperance,90,AU,1586964824,93,-33.87,121.9,57.2,4.7
21,Codrington,99,AU,1586964825,80,-38.27,141.97,61.38,14.76
22,Saint George,1,US,1586964813,42,37.1,-113.58,51.01,3.36
23,Kargasok,100,RU,1586964828,94,59.06,80.86,39.6,8.61
24,Asău,20,RO,1586964829,34,46.43,26.4,54.0,5.82
25,Avarua,71,CK,1586964830,100,-21.21,-159.78,68.0,2.24
26,Thompson,20,CA,1586964831,56,55.74,-97.86,14.0,10.29
27,Puerto Ayora,75,EC,1586964832,78,-0.74,-90.35,82.4,9.17
28,Acapulco de Juárez,20,MX,1586964713,74,16.86,-99.89,80.6,2.24
29,Chumikan,1,RU,1586964834,83,54.72,135.31,34.56,5.86
30,Barrow,90,US,1586964601,85,71.29,-156.79,15.8,20.8
31,Ponta do Sol,40,PT,1586964837,68,32.67,-17.1,68.0,29.97
32,Mar del Plata,75,AR,1586964838,59,-38.0,-57.56,63.0,18.34
33,Hong Kong,89,HK,1586964603,60,22.29,114.16,72.0,2.24
34,Dongsheng,1,CN,1586964840,29,39.82,109.98,41.72,15.64
35,Fortuna,90,US,1586964841,93,40.6,-124.16,50.0,5.82
36,Leningradskiy,100,RU,1586964842,95,69.38,178.42,12.97,4.27
37,Sinnamary,30,GF,1586964843,65,5.38,-52.95,82.54,8.25
38,George Town,40,MY,1586964613,88,5.41,100.34,80.6,1.36
39,Alexandria,80,EG,1586964845,25,31.22,29.96,84.2,16.11
40,Clyde River,75,CA,1586964847,84,70.47,-68.59,1.4,8.05
41,Saint Paul Harbor,90,US,1586964848,86,57.79,-152.41,41.0,4.7
42,Tiksi,100,RU,1586964849,92,71.69,128.87,1.31,8.7
43,Vila,40,PT,1586964850,72,42.03,-8.16,60.8,3.36
44,Hilo,75,US,1586964656,73,19.73,-155.09,71.6,4.7
45,Dikson,12,RU,1586964852,84,73.51,80.55,6.73,5.91
46,Yellowknife,20,CA,1586964854,78,62.46,-114.35,19.0,5.82
47,Kwidzyn,98,PL,1586964855,72,53.72,18.93,48.0,11.99
48,Punta Arenas,99,CL,1586964610,76,-53.15,-70.92,53.6,4.56
49,Mayo,1,US,1586964716,48,38.89,-76.51,48.2,13.87
50,Kargopol',100,RU,1586964858,90,61.51,38.95,35.71,4.72
51,Bredasdorp,98,ZA,1586964859,63,-34.53,20.04,66.2,8.05
52,Upernavik,0,GL,1586964861,87,72.79,-56.15,20.39,5.46
53,Lebu,100,CL,1586964862,56,-37.62,-73.65,60.84,7.92
54,Doha,75,QA,1586964843,83,25.29,51.53,73.4,13.87
55,Manono,0,CD,1586964864,62,-7.3,27.42,84.45,2.71
56,Luanda,40,AO,1586964613,74,-8.84,13.23,86.0,18.34
57,Port Elizabeth,32,ZA,1586964604,72,-33.92,25.57,68.0,5.82
58,Kaitangata,38,NZ,1586964867,73,-46.28,169.85,51.01,8.01
59,Mitsamiouli,72,KM,1586964868,71,-11.38,43.28,84.22,6.67
60,The Pas,1,CA,1586964869,47,53.83,-101.25,15.8,5.82
61,Ushuaia,20,AR,1586964871,66,-54.8,-68.3,51.8,5.55
62,Teya,2,RU,1586964872,79,60.38,92.63,39.02,2.3
63,Vaini,20,TO,1586964873,94,-21.2,-175.2,69.8,3.36
64,Taoudenni,0,ML,1586964874,23,22.68,-3.98,95.65,12.95
65,Carnarvon,40,AU,1586964876,73,-24.87,113.63,75.2,19.46
66,Bambous Virieux,75,MU,1586964877,78,-20.34,57.76,78.8,13.87
67,Hobart,75,AU,1586964878,87,-42.88,147.33,57.99,5.82
68,Castro,0,BR,1586964685,25,-24.79,-50.01,64.53,4.79
69,Qaanaaq,94,GL,1586964880,89,77.48,-69.36,12.22,1.32
70,Ankpa,46,NG,1586964881,34,7.37,7.63,96.98,3.69
71,Khatanga,0,RU,1586964883,89,71.97,102.5,-7.13,3.98
72,Port Alfred,65,ZA,1586964884,90,-33.59,26.89,64.99,1.01
73,Departamento de Maldonado,100,UY,1586964686,81,-34.67,-54.92,64.0,11.01
74,Wanning,11,CN,1586964886,78,18.8,110.4,72.61,3.85
75,Salalah,40,OM,1586964759,74,17.02,54.09,82.4,6.93
76,Āsmār,11,AF,1586964889,35,35.03,71.36,63.25,2.39
77,Mehamn,20,NO,1586964890,69,71.04,27.85,35.6,20.8
78,Srednekolymsk,0,RU,1586964891,91,67.45,153.68,-5.42,9.66
79,Namatanai,93,PG,1586964646,72,-3.67,152.43,81.45,1.03
80,Hambantota,50,LK,1586964893,76,6.12,81.12,83.28,6.29
81,Cary,90,US,1586964802,66,35.79,-78.78,46.99,10.29
82,Ocampo,0,MX,1586964895,11,21.65,-101.5,68.05,13.4
83,Dawei,90,MM,1586964897,78,14.08,98.2,80.76,5.59
84,Kupang,20,ID,1586964898,83,-10.17,123.58,78.8,9.17
85,Pangnirtung,90,CA,1586964899,61,66.15,-65.71,17.6,2.24
86,Inta,100,RU,1586964900,86,66.03,60.17,34.09,16.91
87,Hithadhoo,92,MV,1586964901,70,-0.6,73.08,85.3,8.52
88,Nikolskoye,75,RU,1586964902,65,59.7,30.79,44.01,8.95
89,Finschhafen,85,PG,1586964903,74,-6.6,147.87,81.73,2.19
90,Mildura,100,AU,1586964904,40,-34.2,142.15,71.6,4.7
91,Cairns,77,AU,1586964906,83,-16.92,145.77,77.0,11.41
92,Kapaa,75,US,1586964907,100,22.08,-159.32,69.8,4.7
93,Airai,100,TL,1586964908,69,-8.93,125.41,62.53,3.31
94,Alofi,100,NU,1586964909,100,-19.06,-169.92,69.8,1.12
95,Lüderitz,0,NA,1586964910,63,-26.65,15.16,66.2,21.92
96,Golden,40,US,1586964778,32,39.76,-105.22,46.0,20.8
97,Tasiilaq,75,GL,1586964913,79,65.61,-37.64,28.4,10.29
98,Chokurdakh,96,RU,1586964914,88,70.63,147.92,-9.11,9.46
99,Fengcheng,8,CN,1586964915,65,40.45,124.07,46.45,2.66
100,Mataura,69,NZ,1586964916,87,-46.19,168.86,51.01,11.99
101,Zeya,0,RU,1586964917,77,53.75,127.27,34.27,1.95
102,Yangi Marg`ilon,90,UZ,1586964919,76,40.43,71.72,51.8,2.24
103,Jamestown,90,US,1586964920,64,42.1,-79.24,37.0,16.11
104,Dumas,1,US,1586964921,32,35.87,-101.97,48.0,19.46
105,Omiš,0,HR,1586964923,36,43.44,16.69,60.8,11.41
106,Calatayud,90,ES,1586964924,93,41.35,-1.64,59.0,6.93
107,Tucumcari,1,US,1586964925,61,35.17,-103.72,46.4,10.29
108,Harrisburg,75,US,1586964902,36,40.27,-76.88,45.0,7.49
109,Coyhaique,75,CL,1586964872,87,-45.58,-72.07,55.4,4.7
110,Pochutla,5,MX,1586964928,58,15.74,-96.47,88.0,1.16
111,Bonthe,100,SL,1586964929,67,7.53,-12.51,86.94,9.91
112,Raudeberg,75,NO,1586964930,100,61.99,5.14,46.0,28.86
113,Vila Velha,40,BR,1586964932,66,-20.33,-40.29,84.2,9.17
114,Cotonou,39,BJ,1586964933,62,6.37,2.42,88.65,11.9
115,Sirte,91,LY,1586964934,48,31.21,16.59,73.26,11.05
116,Laguna,1,US,1586964935,62,38.42,-121.42,62.01,3.36
117,Longyearbyen,75,SJ,1586964794,74,78.22,15.64,33.8,27.51
118,Eyl,80,SO,1586964937,69,7.98,49.82,84.92,10.83
119,Chui,100,UY,1586964939,83,-33.7,-53.46,62.51,24.02
